"EmployeeNumber","Attrition","Age","Department","JobRole","Gender","MaritalStatus","BusinessTravel","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","AgeBand","TenureBand","IncomeBand","DistanceBand","PromotionWaitBand","AttritionFlag"
1764,"No",32,"Research & Development","Research Scientist","Male","Single","Non-Travel",5,4,"Technical Degree",2,3,1,2,2718,2,"No",14,3,2,0,12,3,3,7,7,0,7,"25-34","6-10 years","Under 3000","1-5","0-1 years",0
1766,"No",38,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",18,3,"Medical",2,1,2,4,5811,3,"Yes",16,3,3,1,15,2,3,1,0,1,0,"35-44","1-2 years","5000-6999","11-20","0-1 years",0
1767,"Yes",43,"Research & Development","Research Scientist","Male","Married","Travel_Frequently",17,3,"Technical Degree",3,2,1,3,2437,9,"Yes",16,3,4,1,6,4,3,1,0,0,0,"35-44","1-2 years","Under 3000","11-20","0-1 years",1
1768,"No",42,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",12,3,"Medical",2,3,1,2,2766,8,"No",22,4,2,3,7,6,2,5,3,0,4,"35-44","3-5 years","Under 3000","11-20","0-1 years",0
1770,"No",55,"Research & Development","Research Director","Male","Married","Travel_Rarely",2,3,"Medical",3,2,5,1,19038,8,"No",12,3,2,3,34,2,3,1,0,0,0,"55+","1-2 years","10000+","1-5","0-1 years",0
1771,"No",33,"Research & Development","Research Scientist","Male","Divorced","Non-Travel",4,3,"Technical Degree",4,3,2,2,3055,5,"No",15,3,4,2,11,2,2,9,8,1,7,"25-34","6-10 years","3000-4999","1-5","0-1 years",0
1772,"No",41,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",9,4,"Life Sciences",3,3,1,1,2289,1,"No",20,4,2,2,5,2,3,5,3,0,4,"35-44","3-5 years","Under 3000","6-10","0-1 years",0
1774,"No",34,"Sales","Sales Executive","Male","Divorced","Non-Travel",10,3,"Life Sciences",4,3,2,3,4001,1,"Yes",14,3,3,1,15,3,3,15,14,0,7,"25-34","10+ years","3000-4999","6-10","0-1 years",0
1775,"No",53,"Research & Development","Manufacturing Director","Female","Married","Non-Travel",1,4,"Medical",1,2,4,3,12965,4,"Yes",20,4,4,3,27,2,2,3,2,0,2,"45-54","3-5 years","10000+","1-5","0-1 years",0
1778,"No",43,"Human Resources","Human Resources","Male","Single","Travel_Rarely",2,3,"Life Sciences",2,3,1,4,3539,0,"No",13,3,2,0,10,5,3,9,7,1,8,"35-44","6-10 years","3000-4999","1-5","0-1 years",0
1779,"No",34,"Sales","Sales Executive","Female","Single","Travel_Rarely",3,2,"Life Sciences",4,1,2,4,6029,5,"No",12,3,1,0,6,3,3,2,2,2,2,"25-34","1-2 years","5000-6999","1-5","2-3 years",0
1780,"Yes",21,"Sales","Sales Representative","Male","Single","Travel_Rarely",7,1,"Marketing",2,3,1,2,2679,1,"No",13,3,2,0,1,3,3,1,0,1,0,"Under 25","1-2 years","Under 3000","6-10","0-1 years",1
1782,"No",38,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",6,2,"Other",4,2,1,3,3702,1,"No",11,3,2,1,5,3,3,5,4,0,4,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
1783,"Yes",22,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",8,1,"Medical",3,3,1,1,2398,1,"Yes",17,3,3,0,1,6,3,1,0,0,0,"Under 25","1-2 years","Under 3000","6-10","0-1 years",1
1784,"No",31,"Sales","Sales Executive","Female","Married","Travel_Rarely",29,4,"Marketing",1,2,2,4,5468,1,"No",14,3,1,2,13,3,3,12,7,5,7,"25-34","10+ years","5000-6999","21+","4-5 years",0
1786,"No",51,"Research & Development","Manager","Female","Married","Travel_Rarely",3,3,"Technical Degree",1,3,3,3,13116,2,"No",11,3,4,0,15,2,3,2,2,2,2,"45-54","1-2 years","10000+","1-5","2-3 years",0
1787,"No",37,"Sales","Sales Executive","Male","Married","Travel_Rarely",9,2,"Marketing",2,2,2,2,4189,1,"No",14,3,1,2,5,2,3,5,2,0,3,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
1789,"No",46,"Research & Development","Research Director","Male","Divorced","Travel_Rarely",2,4,"Medical",3,3,5,4,19328,7,"Yes",17,3,3,1,24,3,3,2,1,2,2,"45-54","1-2 years","10000+","1-5","2-3 years",0
1790,"No",36,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",10,3,"Life Sciences",4,3,3,1,8321,7,"Yes",13,3,4,1,15,1,3,12,8,5,7,"35-44","10+ years","7000-9999","6-10","4-5 years",0
1792,"Yes",44,"Research & Development","Research Scientist","Male","Divorced","Travel_Frequently",1,2,"Medical",3,3,1,2,2342,1,"Yes",12,3,3,3,6,2,2,5,3,2,3,"35-44","3-5 years","Under 3000","1-5","2-3 years",1
1794,"No",37,"Human Resources","Human Resources","Male","Divorced","Travel_Rarely",8,2,"Other",3,3,2,2,4071,2,"No",13,3,3,0,19,4,2,10,0,4,7,"35-44","6-10 years","3000-4999","6-10","4-5 years",0
1797,"Yes",35,"Sales","Sales Executive","Male","Single","Travel_Rarely",27,3,"Life Sciences",3,3,2,4,5813,1,"Yes",18,3,4,0,10,2,3,10,7,7,7,"35-44","6-10 years","5000-6999","21+","6+ years",1
1798,"No",33,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",8,4,"Life Sciences",4,4,1,1,3143,6,"No",19,3,2,1,14,1,3,10,8,7,6,"25-34","6-10 years","3000-4999","6-10","6+ years",0
1799,"No",28,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",1,3,"Life Sciences",3,3,1,4,2044,1,"No",11,3,3,1,5,6,4,5,3,0,3,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
1800,"No",39,"Research & Development","Research Director","Male","Single","Travel_Rarely",10,1,"Medical",3,3,3,3,13464,7,"No",21,4,3,0,9,3,3,4,3,2,2,"35-44","3-5 years","10000+","6-10","2-3 years",0
1801,"No",46,"Sales","Sales Executive","Male","Single","Non-Travel",26,2,"Life Sciences",2,2,2,2,7991,8,"No",15,3,3,0,6,3,3,2,2,2,2,"45-54","1-2 years","7000-9999","21+","2-3 years",0
1802,"No",40,"Research & Development","Laboratory Technician","Female","Married","Travel_Rarely",2,2,"Life Sciences",3,3,1,1,3377,4,"No",17,3,4,1,7,5,2,4,3,0,2,"35-44","3-5 years","3000-4999","1-5","0-1 years",0
1803,"No",42,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",13,3,"Medical",2,4,2,1,5538,5,"No",18,3,3,2,10,2,2,0,0,0,0,"35-44","Under 1 year","5000-6999","11-20","0-1 years",0
1804,"No",35,"Research & Development","Manufacturing Director","Male","Divorced","Non-Travel",2,2,"Medical",2,3,2,4,5762,2,"No",14,3,3,1,15,6,3,7,7,1,7,"35-44","6-10 years","5000-6999","1-5","0-1 years",0
1805,"No",38,"Human Resources","Human Resources","Male","Divorced","Non-Travel",2,3,"Human Resources",1,3,1,2,2592,5,"No",13,3,4,3,13,3,3,11,10,3,8,"35-44","10+ years","Under 3000","1-5","2-3 years",0
1807,"Yes",34,"Research & Development","Laboratory Technician","Male","Married","Travel_Frequently",9,4,"Life Sciences",4,3,2,1,5346,4,"No",17,3,3,1,11,3,2,7,1,0,7,"25-34","6-10 years","5000-6999","6-10","0-1 years",1
1809,"Yes",37,"Research & Development","Manufacturing Director","Male","Single","Travel_Rarely",10,4,"Medical",4,3,2,1,4213,1,"No",15,3,2,0,10,4,1,10,3,0,8,"35-44","6-10 years","3000-4999","6-10","0-1 years",1
1812,"No",39,"Sales","Sales Executive","Male","Divorced","Travel_Frequently",20,3,"Life Sciences",3,3,2,4,4127,2,"No",18,3,4,1,7,6,3,2,1,2,2,"35-44","1-2 years","3000-4999","11-20","2-3 years",0
1813,"No",43,"Research & Development","Research Scientist","Male","Single","Non-Travel",9,3,"Life Sciences",1,3,1,3,2438,4,"No",13,3,3,0,7,2,2,3,2,1,2,"35-44","3-5 years","Under 3000","6-10","0-1 years",0
1814,"No",41,"Research & Development","Healthcare Representative","Male","Single","Travel_Rarely",5,3,"Life Sciences",2,4,2,2,6870,3,"No",12,3,1,0,11,3,1,3,2,1,2,"35-44","3-5 years","5000-6999","1-5","0-1 years",0
1815,"No",41,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",4,1,"Marketing",3,3,3,3,10447,0,"Yes",13,3,4,1,23,3,4,22,14,13,5,"35-44","10+ years","10000+","1-5","6+ years",0
1816,"No",30,"Research & Development","Manufacturing Director","Female","Single","Travel_Rarely",10,3,"Medical",1,3,3,3,9667,9,"No",14,3,2,0,9,3,3,7,7,0,2,"25-34","6-10 years","7000-9999","6-10","0-1 years",0
1818,"Yes",26,"Human Resources","Human Resources","Female","Married","Travel_Rarely",20,2,"Medical",4,3,1,2,2148,0,"Yes",11,3,3,0,6,3,3,5,1,1,4,"25-34","3-5 years","Under 3000","11-20","0-1 years",1
1821,"Yes",46,"Research & Development","Healthcare Representative","Female","Married","Travel_Rarely",21,2,"Medical",4,3,2,2,8926,4,"No",22,4,4,1,13,2,4,9,7,3,7,"45-54","6-10 years","7000-9999","21+","2-3 years",1
1822,"No",40,"Research & Development","Healthcare Representative","Female","Divorced","Travel_Rarely",1,3,"Life Sciences",3,3,2,4,6513,4,"No",17,3,4,1,12,3,3,5,3,0,3,"35-44","3-5 years","5000-6999","1-5","0-1 years",0
1823,"No",34,"Sales","Sales Executive","Male","Married","Travel_Rarely",8,2,"Technical Degree",2,4,2,3,6799,1,"No",21,4,3,2,10,5,3,10,8,4,8,"25-34","6-10 years","5000-6999","6-10","4-5 years",0
1824,"No",58,"Sales","Manager","Male","Divorced","Non-Travel",2,3,"Medical",2,3,4,2,16291,4,"No",22,4,4,1,37,0,2,16,9,14,14,"55+","10+ years","10000+","1-5","6+ years",0
1826,"No",35,"Research & Development","Laboratory Technician","Male","Married","Travel_Rarely",23,4,"Medical",2,1,1,3,2705,0,"No",16,3,2,1,6,2,4,5,4,0,3,"35-44","3-5 years","Under 3000","21+","0-1 years",0
1827,"No",47,"Research & Development","Manufacturing Director","Female","Divorced","Travel_Rarely",4,3,"Life Sciences",3,2,3,2,10333,8,"Yes",12,3,3,1,28,4,3,22,11,14,10,"45-54","10+ years","10000+","1-5","6+ years",0
1829,"No",40,"Research & Development","Healthcare Representative","Female","Divorced","Travel_Rarely",12,3,"Life Sciences",2,3,2,1,4448,2,"No",12,3,2,1,15,3,3,7,4,7,7,"35-44","6-10 years","3000-4999","11-20","6+ years",0
1830,"No",54,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",7,4,"Medical",4,3,2,4,6854,4,"No",15,3,2,1,14,2,2,7,1,1,7,"45-54","6-10 years","5000-6999","6-10","0-1 years",0
1833,"No",31,"Sales","Sales Executive","Female","Married","Travel_Frequently",7,4,"Marketing",1,3,3,1,9637,2,"No",14,3,4,2,9,3,3,3,2,2,2,"25-34","3-5 years","7000-9999","6-10","2-3 years",0
1834,"No",28,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",1,3,"Medical",3,3,1,1,3591,1,"No",25,4,3,1,3,3,3,3,2,1,2,"25-34","3-5 years","3000-4999","1-5","0-1 years",0
1835,"No",38,"Sales","Sales Representative","Female","Married","Travel_Rarely",2,4,"Marketing",2,1,2,4,5405,2,"Yes",20,4,1,2,20,4,2,4,2,0,3,"35-44","3-5 years","5000-6999","1-5","0-1 years",0
1836,"No",26,"Sales","Sales Executive","Male","Single","Travel_Rarely",10,3,"Medical",3,3,2,4,4684,1,"No",13,3,1,0,5,4,3,5,3,1,2,"25-34","3-5 years","3000-4999","6-10","0-1 years",0
1837,"No",58,"Research & Development","Research Director","Male","Married","Travel_Frequently",15,4,"Life Sciences",1,3,4,3,15787,2,"Yes",14,3,2,0,23,3,3,2,2,2,2,"55+","1-2 years","10000+","11-20","2-3 years",0
1839,"No",18,"Research & Development","Research Scientist","Female","Single","Non-Travel",14,3,"Medical",2,3,1,3,1514,1,"No",16,3,3,0,0,4,1,0,0,0,0,"Under 25","Under 1 year","Under 3000","11-20","0-1 years",0
1842,"Yes",31,"Human Resources","Human Resources","Male","Married","Travel_Rarely",18,5,"Human Resources",4,4,1,1,2956,0,"No",17,3,3,0,2,4,3,1,0,0,0,"25-34","1-2 years","Under 3000","11-20","0-1 years",1
1844,"Yes",29,"Human Resources","Human Resources","Male","Divorced","Travel_Rarely",13,3,"Human Resources",1,2,1,1,2335,4,"Yes",15,3,4,3,4,3,3,2,2,2,0,"25-34","1-2 years","Under 3000","11-20","2-3 years",1
1845,"No",45,"Sales","Sales Executive","Female","Married","Non-Travel",2,4,"Life Sciences",3,3,2,3,5154,4,"No",22,4,2,2,10,3,4,8,7,5,7,"45-54","6-10 years","5000-6999","1-5","4-5 years",0
1847,"No",36,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",2,4,"Other",4,3,2,2,6962,4,"Yes",22,4,4,1,15,2,3,1,0,0,0,"35-44","1-2 years","5000-6999","1-5","0-1 years",0
1849,"No",43,"Sales","Sales Executive","Male","Married","Travel_Frequently",2,4,"Life Sciences",1,3,2,4,5675,1,"No",20,4,3,1,7,5,3,7,7,7,7,"35-44","6-10 years","5000-6999","1-5","6+ years",0
1850,"No",27,"Research & Development","Laboratory Technician","Female","Single","Travel_Frequently",5,2,"Life Sciences",4,3,1,4,2379,0,"Yes",14,3,3,0,6,3,2,5,4,0,2,"25-34","3-5 years","Under 3000","1-5","0-1 years",0
1852,"No",29,"Research & Development","Laboratory Technician","Male","Married","Travel_Frequently",20,1,"Medical",4,3,1,4,3812,1,"No",13,3,2,0,11,3,4,11,8,3,10,"25-34","10+ years","3000-4999","11-20","2-3 years",0
1853,"No",32,"Sales","Sales Executive","Male","Single","Travel_Frequently",10,4,"Marketing",4,3,2,4,4648,8,"No",13,3,3,0,4,2,4,0,0,0,0,"25-34","Under 1 year","3000-4999","6-10","0-1 years",0
1854,"No",42,"Research & Development","Research Scientist","Male","Married","Non-Travel",10,4,"Technical Degree",3,3,1,3,2936,3,"No",22,4,2,2,10,1,2,6,3,3,3,"35-44","6-10 years","Under 3000","6-10","2-3 years",0
1856,"No",47,"Research & Development","Laboratory Technician","Female","Single","Travel_Rarely",9,4,"Life Sciences",2,3,1,3,2105,4,"No",12,3,3,0,7,2,3,2,2,2,0,"45-54","1-2 years","Under 3000","6-10","2-3 years",0
1857,"No",46,"Research & Development","Manufacturing Director","Male","Divorced","Travel_Rarely",2,2,"Life Sciences",4,3,3,4,8578,3,"No",14,3,3,1,12,4,2,9,8,4,7,"45-54","6-10 years","7000-9999","1-5","4-5 years",0
1858,"No",28,"Human Resources","Human Resources","Male","Divorced","Non-Travel",1,2,"Life Sciences",3,3,1,4,2706,1,"No",15,3,2,1,3,2,3,3,2,2,2,"25-34","3-5 years","Under 3000","1-5","2-3 years",0
1859,"No",29,"Research & Development","Healthcare Representative","Male","Divorced","Travel_Rarely",29,1,"Life Sciences",4,1,2,3,6384,8,"No",17,3,4,2,11,3,3,7,0,1,6,"25-34","6-10 years","5000-6999","21+","0-1 years",0
1860,"No",42,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",8,3,"Life Sciences",4,3,1,3,3968,4,"No",13,3,4,0,8,3,3,0,0,0,0,"35-44","Under 1 year","3000-4999","6-10","0-1 years",0
1862,"Yes",32,"Sales","Sales Executive","Male","Single","Travel_Rarely",2,4,"Marketing",3,2,2,2,9907,7,"Yes",12,3,3,0,7,3,2,2,2,2,2,"25-34","1-2 years","7000-9999","1-5","2-3 years",1
1863,"No",46,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",3,3,"Technical Degree",1,4,4,1,13225,2,"No",12,3,4,1,25,5,3,19,17,2,8,"45-54","10+ years","10000+","1-5","2-3 years",0
1864,"No",27,"Sales","Sales Representative","Female","Married","Travel_Rarely",23,1,"Medical",2,2,2,3,3540,1,"No",21,4,4,1,9,5,3,9,8,5,8,"25-34","6-10 years","3000-4999","21+","4-5 years",0
1865,"No",29,"Human Resources","Human Resources","Male","Married","Travel_Rarely",6,1,"Medical",4,2,1,2,2804,1,"No",11,3,4,0,1,3,3,1,0,0,0,"25-34","1-2 years","Under 3000","6-10","0-1 years",0
1866,"No",43,"Research & Development","Manager","Female","Married","Travel_Rarely",6,3,"Medical",1,2,5,3,19392,7,"No",13,3,4,0,21,2,3,16,12,6,14,"35-44","10+ years","10000+","6-10","6+ years",0
1867,"No",48,"Research & Development","Research Director","Male","Married","Travel_Rarely",10,3,"Life Sciences",4,2,5,2,19665,4,"No",12,3,4,0,29,3,3,22,10,12,9,"45-54","10+ years","10000+","6-10","6+ years",0
1868,"Yes",29,"Research & Development","Research Scientist","Male","Single","Travel_Frequently",24,2,"Life Sciences",4,2,1,4,2439,1,"Yes",24,4,2,0,1,3,2,1,0,1,0,"25-34","1-2 years","Under 3000","21+","0-1 years",1
1869,"Yes",46,"Sales","Sales Executive","Female","Married","Travel_Rarely",10,3,"Life Sciences",3,3,3,2,7314,5,"No",21,4,3,3,14,2,3,8,7,0,7,"45-54","6-10 years","7000-9999","6-10","0-1 years",1
1870,"No",27,"Research & Development","Research Scientist","Female","Married","Travel_Frequently",15,3,"Life Sciences",4,2,1,1,4774,0,"No",19,3,4,1,8,2,2,7,6,7,3,"25-34","6-10 years","3000-4999","11-20","6+ years",0
1871,"No",39,"Research & Development","Research Scientist","Male","Divorced","Travel_Rarely",19,4,"Other",4,3,2,4,3902,8,"No",14,3,2,3,7,2,3,2,2,2,2,"35-44","1-2 years","3000-4999","11-20","2-3 years",0
1873,"No",55,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",2,4,"Technical Degree",2,2,1,4,2662,8,"No",20,4,2,1,19,2,4,5,2,0,4,"55+","3-5 years","Under 3000","1-5","0-1 years",0
1875,"No",28,"Sales","Sales Representative","Female","Married","Travel_Rarely",3,3,"Medical",2,3,1,2,2856,1,"No",19,3,4,1,1,3,3,1,0,0,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
1876,"Yes",30,"Sales","Sales Representative","Male","Single","Travel_Rarely",9,3,"Medical",2,3,1,4,1081,1,"No",13,3,3,0,1,3,2,1,0,0,0,"25-34","1-2 years","Under 3000","6-10","0-1 years",1
1878,"Yes",22,"Research & Development","Research Scientist","Male","Single","Travel_Rarely",7,1,"Life Sciences",4,3,1,2,2472,1,"Yes",23,4,1,0,1,2,3,1,0,0,0,"Under 25","1-2 years","Under 3000","6-10","0-1 years",1
1880,"No",36,"Sales","Sales Executive","Female","Married","Travel_Rarely",10,4,"Technical Degree",2,2,2,3,5673,1,"Yes",13,3,1,1,10,4,3,10,9,1,7,"35-44","6-10 years","5000-6999","6-10","0-1 years",0
1881,"No",31,"Research & Development","Laboratory Technician","Male","Divorced","Travel_Rarely",20,3,"Life Sciences",2,3,2,3,4197,1,"No",11,3,1,1,10,2,3,10,8,0,2,"25-34","6-10 years","3000-4999","11-20","0-1 years",0
1882,"No",34,"Sales","Sales Executive","Male","Married","Travel_Rarely",4,3,"Life Sciences",3,3,3,4,9713,2,"Yes",13,3,4,3,9,3,3,5,3,1,0,"25-34","3-5 years","7000-9999","1-5","0-1 years",0
1883,"No",29,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",7,3,"Life Sciences",4,3,1,1,2062,3,"No",14,3,2,0,11,2,3,3,2,1,2,"25-34","3-5 years","Under 3000","6-10","0-1 years",0
1885,"No",37,"Research & Development","Research Scientist","Male","Married","Travel_Rarely",7,4,"Medical",4,3,2,1,4284,5,"Yes",22,4,3,1,16,2,3,5,3,0,4,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
1886,"No",35,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",16,2,"Other",4,2,2,2,4788,0,"Yes",11,3,4,0,4,2,3,3,2,0,2,"35-44","3-5 years","3000-4999","11-20","0-1 years",0
1888,"No",45,"Research & Development","Manufacturing Director","Female","Married","Travel_Rarely",25,2,"Life Sciences",2,2,2,4,5906,0,"No",13,3,4,2,10,2,2,9,8,3,8,"45-54","6-10 years","5000-6999","21+","2-3 years",0
1890,"No",36,"Human Resources","Human Resources","Male","Single","Travel_Frequently",2,1,"Human Resources",2,2,2,4,3886,1,"No",21,4,4,0,10,2,2,10,1,0,8,"35-44","6-10 years","3000-4999","1-5","0-1 years",0
1892,"No",40,"Research & Development","Manager","Male","Divorced","Travel_Rarely",1,4,"Life Sciences",1,3,4,1,16823,2,"No",11,3,1,1,22,3,3,19,7,11,16,"35-44","10+ years","10000+","1-5","6+ years",0
1893,"No",26,"Research & Development","Research Scientist","Female","Married","Travel_Rarely",1,2,"Life Sciences",2,2,1,3,2933,1,"Yes",13,3,3,1,1,3,2,1,0,1,0,"25-34","1-2 years","Under 3000","1-5","0-1 years",0
1898,"No",27,"Sales","Sales Executive","Female","Single","Travel_Rarely",2,2,"Medical",1,4,2,3,6500,0,"No",14,3,2,0,9,5,2,8,7,0,7,"25-34","6-10 years","5000-6999","1-5","0-1 years",0
1900,"No",48,"Research & Development","Manager","Female","Divorced","Travel_Frequently",22,3,"Medical",4,3,4,4,17174,3,"No",11,3,2,1,24,3,3,22,17,4,7,"45-54","10+ years","10000+","21+","4-5 years",0
1903,"No",44,"Research & Development","Healthcare Representative","Male","Married","Travel_Rarely",1,4,"Life Sciences",2,4,2,1,5033,2,"No",15,3,4,1,10,5,3,2,0,2,2,"35-44","1-2 years","5000-6999","1-5","2-3 years",0
1905,"Yes",34,"Research & Development","Research Scientist","Male","Married","Non-Travel",16,4,"Technical Degree",4,1,1,1,2307,1,"Yes",23,4,2,1,5,2,3,5,2,3,0,"25-34","3-5 years","Under 3000","11-20","2-3 years",1
1907,"Yes",56,"Research & Development","Laboratory Technician","Male","Single","Travel_Rarely",24,2,"Life Sciences",1,3,1,4,2587,1,"No",16,3,4,0,5,3,3,4,2,1,0,"55+","3-5 years","Under 3000","21+","0-1 years",1
1908,"No",36,"Sales","Sales Executive","Male","Married","Travel_Rarely",17,2,"Marketing",3,2,2,2,5507,2,"No",16,3,3,2,12,1,1,4,2,1,3,"35-44","3-5 years","5000-6999","11-20","0-1 years",0
1909,"No",41,"Sales","Sales Executive","Female","Married","Travel_Rarely",8,3,"Marketing",3,3,2,2,4393,5,"No",21,4,3,1,14,3,3,5,4,1,4,"35-44","3-5 years","3000-4999","6-10","0-1 years",0
1911,"No",42,"Research & Development","Research Director","Male","Married","Travel_Rarely",6,3,"Medical",3,3,3,1,13348,9,"No",13,3,2,1,18,3,4,13,7,5,7,"35-44","10+ years","10000+","6-10","4-5 years",0
1912,"No",31,"Sales","Sales Executive","Female","Divorced","Travel_Rarely",10,2,"Medical",3,3,2,4,6583,2,"Yes",11,3,4,1,8,2,3,5,2,1,4,"25-34","3-5 years","5000-6999","6-10","0-1 years",0
1915,"No",34,"Sales","Sales Executive","Female","Married","Travel_Rarely",3,1,"Medical",4,2,2,4,8103,3,"Yes",12,3,3,0,9,3,2,4,2,0,1,"25-34","3-5 years","7000-9999","1-5","0-1 years",0
1916,"No",31,"Research & Development","Laboratory Technician","Female","Divorced","Travel_Rarely",4,3,"Medical",1,4,1,3,3978,8,"No",12,3,2,1,4,0,2,2,2,2,2,"25-34","1-2 years","3000-4999","1-5","2-3 years",0
1918,"No",26,"Research & Development","Laboratory Technician","Male","Married","Travel_Frequently",6,3,"Other",3,4,1,4,2544,0,"No",18,3,1,1,8,3,3,7,7,7,7,"25-34","6-10 years","Under 3000","6-10","6+ years",0
1922,"No",45,"Research & Development","Healthcare Representative","Male","Single","Travel_Frequently",1,4,"Medical",2,3,2,3,5399,4,"No",12,3,3,0,12,3,3,4,2,0,3,"45-54","3-5 years","5000-6999","1-5","0-1 years",0
